Product;Company;Category;Rating
Β.Ι.Κ.Ι Μπεϊκον;Β.Ι.Κ.Ι;1;1
Β.Ι.Κ.Ι Παριζακι;Β.Ι.Κ.Ι;1;1
Β.Ι.Κ.Ι Σαλαµι;Β.Ι.Κ.Ι;1;1
Ζλατης Αλλαντικα;Ζλατης;1;1
Boss Μπριζολες;Boss;1;2
Boss Σουβλακια;Boss;1;2
Primo Λουκανικα;Primo;1;2
Primo Μορταδελα;Primo;1;2
Primo Σαλαμι;Primo;1;2
Ανανιαδης Λουκανικα;Ανανιαδης;1;2
Ανανιαδης Παριζακι;Ανανιαδης;1;2
Ανανιαδης Σαλαµι;Ανανιαδης;1;2
Βεκκα Xoιροµερι;Βεκκα;1;2
Βεκκα Λουκανικα;Βεκκα;1;2
Βεκκα Σαλαµι;Βεκκα;1;2
Νικας Λουκανικα;Νικας;1;2
Νικας Παριζα;Νικας;1;2
Νικας Σαλαµι;Νικας;1;2
Υφαντης Λουκανικα;Υφαντης;1;2
Υφαντης Μπεικον;Υφαντης;1;2
Boss Hamburger;Boss;1;3
Creta Farm Ζαµπον;Creta Farm;1;3
Creta Farm Παριζα;Creta Farm;1;3
Creta Farm Σαλαµι Αερος;Creta Farm;1;3
Dianik Λουκανικα;Dianik;1;3
Dianik Μορταδελα;Dianik;1;3
Dianik Μπεικον;Dianik;1;3
Βεκκα Γαλοπουλα;Βεκκα;1;3
εδεσµα Λουκανικα;εδεσµα;1;3
εδεσµα Παριζα;εδεσµα;1;3
εδεσµα Σαλαµι;εδεσµα;1;3
Θρακη Παριζακι;Θρακη;1;3
Θρακη Πικ-Νικ;Θρακη;1;3
Θρακη Χοιρινο;Θρακη;1;3
Καρνικα Αλλαντικα;Καρνικα;1;3
Πασσιας Λουκανικα;Πασσιας;1;3
Πασσιας Παριζακι;Πασσιας;1;3
Πασσιας Σαλαμια;Πασσιας;1;3
Υφαντης Κεφτεδακια;Υφαντης;1;3
Υφαντης Παστουρμας;Υφαντης;1;3
Υφαντης Φιλετο Γαλοπουλας;Υφαντης;1;3
ΚΡΕ.ΚΑ Κρεας;ΚΡΕ.ΚΑ;1;4
Νικας Γαλοπουλα Καπνιστη;Νικας;1;4
Νικας Μεριδακι απο Προβειο;Νικας;1;4
Κρειττον Κοτοπουλα;Κρειττον;2;1
Λειβαδιτης Κοτοπουλα;Λειβαδιτης;2;1
Σαραμουρτση Κοτοπουλα;Σαραμουρτση;2;1
Σαρσυρ Κοτοπουλα;Σαρσυρ;2;1
Πτηνοπαραγωγη Κοτοπουλα;Πτηνοπαραγωγη;2;2
Συνκο Κοτοπουλα;Συνκο;2;2
Aγ.Iωαννης Κοτοπουλα;HQF;2;3
Μιμικος Κοτοπουλα;HQF;2;3
Fresh Κοτοπουλα;Αφοι Παπαµικρουλη;2;3
Πτηνοτροφικος Συνεταιρισμος αρτας Κοτοπουλα ;Πτηνοτροφικος Συνεταιρισμος αρτας;2;3
Αγγελακης Κοτοπουλα;Αγγελακης;2;4
Κλημεντζος Κοτοπουλα;Αφοι Κλημεντζου-Πλεσιωτη;2;4
Βλαχακης Αυγα;Βλαχακης;2;4
Γαλανος Κοτοπουλα;Γαλανος Κοτοπουλα Μεσημεριου;2;4
Xρυσα Αυγα;Ζουρας Φαρμ;2;4
Κελαϊδιτης Κοτοπουλα;Κελαϊδιτης;2;4
Μεγα Φαρμ Αυγα;Μεγα Φαρμ;2;4
Νιτσιακος Κοτοπουλα;Νιτσιακος;2;4
ορνιθα Κοτοπουλα;ορνιθα;2;4
Πινδος Κοτοπουλα;Πινδος;2;4
Lurpak;Arla;3;1
Κρεμα Τυριου Νatural Buko;Arla;3;1
Mister Cheez Τυρι – Τριγωνακια;Friesland;3;1
Νουνου Γαλα;Friesland;3;1
Νουνου Κρεμα Γαλακτος;Friesland;3;1
Carnation;Nestle;3;1
Dolca;Nestle;3;1
Neslac;Nestle;3;1
ΑΓΝΟ Κρεμα Γαλακτος;ΑΓΝΟ;3;1
ΑΓΝΟ Φρεσκο Γαλα;ΑΓΝΟ;3;1
Βιγλα Τυροκομικα;Βιγλα;3;1
ΔΕΛΤΑ Κρεμα Γαλακτος;ΔΕΛΤΑ;3;1
ΔΕΛΤΑ Μilkο;ΔΕΛΤΑ;3;1
ΔΕΛΤΑ Φετα;ΔΕΛΤΑ;3;1
ΔΕΛΤΑ Φρεσκο Γαλα;ΔΕΛΤΑ;3;1
ΔΩΔΩΝΗ Φετα;ΔΩΔΩΝΗ;3;1
ΔΩΔΩΝΗ Φρεσκο Γαλα;ΔΩΔΩΝΗ;3;1
ηπειρος Φετα;ηπειρος;3;1
Τελεμες Γκλιτσα;ηπειρος;3;1
Κολιος Τυρoκομικα;Κολιος;3;1
Κολιος Φρεσκο Γαλα;Κολιος;3;1
ΜΕΒΓΑΛ Κρεμα Γαλακτος;ΜΕΒΓΑΛ;3;1
ΜΕΒΓΑΛ Τοπινο;ΜΕΒΓΑΛ;3;1
ΜΕΒΓΑΛ Φετα;ΜΕΒΓΑΛ;3;1
ΜΕΒΓΑΛ Φρεσκο Γαλα;ΜΕΒΓΑΛ;3;1
Πινδος Τυροκομικα;Πινδος;3;1
Ροδοπη Τυροκομικα;Ροδοπη;3;1
Ροδοπη Φρεσκο Γαλα;Ροδοπη;3;1
N’Joy;ΦΑΓΕ;3;1
ΦΑΓΕ Φρεσκο Γαλα;ΦΑΓΕ;3;1
ΦΑΓΕ Φετα;ΦΑΓΕ;3;1
ΦΑΓΕ Κρεμα Γαλακτος;ΦΑΓΕ;3;1
Αλπινο Βουτυρο;Αλπινο;3;2
Αλπινο Τυροκομικα;Αλπινο;3;2
Αλπινο Φετα;Αλπινο;3;2
Τυροκομικα Θασου;Τυροκομικη Θασου-Τρουλιαρης;3;2
Δελφοι Μυζηθρα;Δελφοι;3;3
Δελφοι Φετα;Δελφοι;3;3
Δουκιδης Κρεμα Γαλακτος;Δουκιδης;3;3
Δουκιδης Τυροκομικα;Δουκιδης;3;3
Δουκιδης Φετα;Δουκιδης;3;3
Twinko;Εβροφαρμα;3;3
Εβροφαρμα Φρεσκο Γαλα;Εβροφαρμα;3;3
Εβροφαρμα Τυροκομικα;Εβροφαρμα;3;3
Τυροκομικα Προϊοντα Ναξου;Κουφοπουλος-Τυροκομικα Προϊοντα “Ναξος”;3;3
Cretalat Γαλα;Κριαρας;3;3
Cretalat Τυροκομικα;Κριαρας;3;3
Νεογαλ Τυροκομικα;Νεογαλ;3;3
Νεογαλ Φρεσκο Γαλα;Νεογαλ;3;3
ολυμπος Γαλα;ολυμπος;3;3
ολυμπος Τυροκομικα;ολυμπος;3;3
Παγωνης Τυροκομικα;Παγωνης;3;3
ΣΕΡΓΑΛ Φρεσκο Γαλα;ΣΕΡΓΑΛ;3;3
ΤΥΡΑΣ Τυροκομικα;ΤΥΡΑΣ;3;3
Τυρκο Τυροκομικα;Τυρκο;3;3
Φαρμα Κουκακη Γαλα;Φαρμα Κουκακη;3;3
Φαρμα Κουκακη Τυροκομικα;Φαρμα Κουκακη;3;3
Oscar Σοκολατες;Oscar;3;0
Corn Flakes;Tasty;4;0
Γιαουρτι After School Choco;ΦΑΓΕ;4;0
FruYo γιαουρτι με δημητριακα;ΦΑΓΕ;4;0
Nouvelle;ΦΑΓΕ;4;0
Caramele;ΦΑΓΕ;4;0
Beautiful;MEΒΓΑΛ;4;1
Chocomania;MEΒΓΑΛ;4;1
Duettino;MEΒΓΑΛ;4;1
Harmony;MEΒΓΑΛ;4;1
ΜΕΒΓΑΛ Γιαουρτια;MEΒΓΑΛ;4;1
ΑΓΝΟ Γιαουρτια;ΑΓΝΟ;4;1
Advance;ΔΕΛΤΑ;4;1
Danette Επιδορπια;ΔΕΛΤΑ;4;1
Vitaline;ΔΕΛΤΑ;4;1
ΔΕΛΤΑ Γιαουρτια;ΔΕΛΤΑ;4;1
Κολιος Γιαουρτια;Κολιος;4;1
After School Choco;ΦΑΓΕ;4;1
FruYo;ΦΑΓΕ;4;1
Nouvelle;ΦΑΓΕ;4;1
Καραμελε;ΦΑΓΕ;4;1
Σικαγο;ΦΑΓΕ;4;1
ΦΑΓΕ Γιαουρτια;ΦΑΓΕ;4;1
Τυρας Γιαουρτια;ΤΥΡΑΣ;4;2
Τυροκομικα Θασου Γιαουρτι;Τυροκομικη Θασου-Τρουλιαρης;4;2
Αφοι Σταμου Γιαουρτια;Αφοι Σταμου;4;3
Δημητριου Γιαουρτια;Δημητριου;4;3
ΕΛ ΓΑΛ Γιαουρτια;ΕΛ ΓΑΛ ΡΗΓΑ;4;3
ΚΑΡΑΛΗΣ Βιομ. Γαλακτος Ηπειρου Γιαουρτι;ΚΑΡΑΛΗΣ Βιομ. Γαλακτος Ηπειρου;4;3
Κρι-Κρι Γιαουρτια;Κρι-Κρι;4;3
Νεογαλ Γιαουρτια;Νεογαλ;4;3
ολυμπος Γιαουρτια;ολυμπος;4;3
ΣΕΡΓΑΛ Γιαουρτια;ΣΕΡΓΑΛ;4;3
Φαρμα Κουκακη Γιαουρτια;Φαρμα Κουκακη;4;3
Τορτελινια;ΑΒΕΖ;5;0
Ιχθυοτρoφεια Ιθακης;;6;1
Ιχθυοτρoφεια Ναυπλιου;;6;1
Lion Iχθυοκαλλιεργειες;;6;3
Neptunus;;6;3
Octopus;;6;3
Sea Farm Ionian;;6;3
Simi Fish;;6;3
Σελοντα;;6;3
Sparfish Υδατοκαλλιεργειες;;6;4
Γαλαξιδι Θαλασσιες Καλλιεργειες;;6;4
Ελληνικες Ιχθυοκαλλιεργειες;;6;4
Ευριπος;;6;4
Ιχθυοκαλλιεργειες Αγια;;6;4
Ιχθυοκαλλιεργειες Κρητης;;6;4
Ιχθυοτροφεια Κεφαλονιας;;6;4
Ιχθυοτροφικη Ελλας ΑΕ;;6;4
Υδατοκαλλιεργειες ΚΟΡΩΝΙΣ;;6;4
Παλιρροια Βοδινο με αρακα;Παλιρροια;7;0
Παλιρροια Γιγαντες γιαχνι;Παλιρροια;7;0
Παλιρροια Ντολμαδακια Γιαλαντζι;Παλιρροια;7;0
Παλιρροια Σπετζοφαι;Παλιρροια;7;0
Brava Ketchup;Med Foods;7;0
Παγωτα ΑΓΝΟ;ΑΓΝΟ;8;0
Algida Παγωτα;Unilever;8;1
ΑΓΝΟ Παγωτα;ΑΓΝΟ;8;1
ΔΕΛΤΑ Παγωτα;ΔΕΛΤΑ;8;1
ΕΒΓΑ Παγωτα;ΕΒΓΑ;8;1
Δωδωνη Παγωτα;Παγωτα Δωδωνη;8;1
Κρι-Κρι Παγωτα;Κρι-Κρι;8;2
BEM Μελιτζανοσαλατα;BEM;9;0
BEM Ρωσικη Σαλατα ;BEM;9;0
BEM Ταραμοσαλατα;BEM;9;0
BEM Τζατζικι ;BEM;9;0
Brava Μουσταρδα;Med Foods;9;0
Delicia Μουσταρδα;Med Foods;9;0
17 Delicatessen Farma;Olympus Foods;9;0
17 Delicatessen Mustard Sauce;Olympus Foods;9;0
17 Delicatessen Μελιτζανοσαλατα;Olympus Foods;9;0
17 Delicatessen Ρωσικη Σαλατα;Olympus Foods;9;0
17 Delicatessen Τυροσαλατα;Olympus Foods;9;0
Chef Grec Τυροσαλατα;Κουτρας;9;0
Chef Grec Ρωσικη Σαλατα;Κουτρας;9;0
Chef Grec Ταραμοσαλατα;Κουτρας;9;0
Chef Grec Τζατζικι ;Κουτρας;9;0
Standard Σπορελαια;Standard;10;0
Ευα ;Ελληνικες Δημιουργιες;10;0
Σορινα ;Ελληνικες Δημιουργιες;10;0
Corolla ;Κορε;10;0
Σογιολα ;Κορε;10;0
Το Λαμπερο;Μυλοι Σογιας;10;0
Union Σογιελαιο;Παπουτσανης;10;0
Μανα Αραβοσιτελαιο;Παπουτσανης;10;0
Μανα Βαμβακελαιο ;Παπουτσανης;10;0
Cheetos ;Tasty;11;0
Doritos ;Tasty;11;0
Φουντουνια ;Tasty;11;0
Lay’s;Tasty;11;0
Pitsinia ;Tasty;11;0
Ruffles ;Tasty;11;0
Tasty Snacks ;Tasty;11;0
Tsakiris Chips με αλατι – παπρικα;Τσακιρης;11;0
Tsakiris Chips με αλατι – ριγανη;Τσακιρης;11;0
Smoki Πεστροφα;Smoki;12;3
Smoki Σολομος;Smoki;12;3
Νηρευς Λαυρακι;Νηρευς;12;3
Νηρευς Συναγριδα;Νηρευς;12;3
Νηρευς Τσιπουρα;Νηρευς;12;3
Ξιφιας Κολιοι;Ξιφιας;12;4
Ξιφιας Σαρδελλες;Ξιφιας;12;4
